rollno,semno,year,subno,crd,grade,date_of_entry,sub_type
1401CE02,6,2017,CE304,6,AB,5/4/2017 11:32:39,CORE
1401CE02,6,2017,CE306,6,AB,5/2/2017 10:54:54,CORE
1401CE02,6,2017,CE308,6,BB,5/1/2017 20:19:50,CORE
1401CE02,6,2017,CE310,3,AB,5/3/2017 18:15:03,CORE
1401CE02,6,2017,CE312,3,AB,5/4/2017 18:05:23,CORE
1401CE02,6,2017,CE316,6,BB,5/1/2017 18:05:17,Department Elective
1401CE02,6,2017,HS331,6,AB,5/3/2017 10:50:26,HS Elective
1401CE03,6,2017,CE302,8,AA,5/1/2017 23:44:35,CORE
1401CE03,6,2017,CE304,6,AB,5/4/2017 11:32:39,CORE
1401CE03,6,2017,CE306,6,AB,5/2/2017 10:54:54,CORE
1401CE03,6,2017,CE308,6,BB,5/1/2017 20:19:50,CORE
1401CE03,6,2017,CE310,3,BB,5/3/2017 18:15:03,CORE
1401CE03,6,2017,CE312,3,AB,5/4/2017 18:05:23,CORE
1401CE03,6,2017,CE316,6,AA,5/1/2017 18:05:17,Department Elective
1401CE03,6,2017,HS312,6,AB,5/3/2017 16:39:09,HS Elective
1401CE04,6,2017,CE302,8,BC,5/1/2017 23:44:35,CORE
1401CE04,6,2017,CE304,6,BB,5/4/2017 11:32:39,CORE
1401CE04,6,2017,CE306,6,AB,5/2/2017 10:54:54,CORE
1401CE04,6,2017,CE308,6,BC,5/1/2017 20:19:50,CORE
1401CE04,6,2017,CE310,3,AB,5/3/2017 18:15:03,CORE
1401CE04,6,2017,CE312,3,AB,5/4/2017 18:05:23,CORE
1401CE04,6,2017,CE316,6,BB,5/1/2017 18:05:17,Department Elective
1401CE04,6,2017,HS331,6,AB,5/3/2017 10:50:26,HS Elective
1401CE05,6,2017,CE302,8,AB,5/1/2017 23:44:35,CORE
1401CE05,6,2017,CE304,6,BB,5/4/2017 11:32:39,CORE
1401CE05,6,2017,CE306,6,AB,5/2/2017 10:54:54,CORE
1401CE05,6,2017,CE308,6,AB,5/1/2017 20:19:50,CORE
1401CE05,6,2017,CE310,3,AB,5/3/2017 18:15:04,CORE
1401CE05,6,2017,CE312,3,AB,5/4/2017 18:05:23,CORE
1401CE05,6,2017,CE316,6,AA,5/1/2017 18:05:17,Department Elective
1401CE05,6,2017,HS312,6,BB,5/3/2017 16:39:10,HS Elective
1401CE06,6,2017,CE302,8,BC,5/1/2017 23:44:35,CORE
1401CE06,6,2017,CE304,6,CC,5/4/2017 11:32:39,CORE
1401CE06,6,2017,CE306,6,BC,5/2/2017 10:54:54,CORE
1401CE06,6,2017,CE308,6,BC,5/1/2017 20:19:50,CORE
1401CE06,6,2017,CE310,3,BB,5/3/2017 18:15:04,CORE
1401CE06,6,2017,CE312,3,AB,5/4/2017 18:05:23,CORE
1401CE06,6,2017,CE316,6,BB,5/1/2017 18:05:17,Department Elective
1401CE06,6,2017,HS312,6,BB,5/3/2017 16:39:10,HS Elective
1401CE07,6,2017,CE302,8,AB,5/1/2017 23:44:35,CORE
1401CE07,6,2017,CE304,6,AB,5/4/2017 11:32:39,CORE
1401CE07,6,2017,CE306,6,AB,5/2/2017 10:54:54,CORE
1401CE07,6,2017,CE308,6,AB,5/1/2017 20:19:50,CORE
1401CE07,6,2017,CE310,3,BB,5/3/2017 18:15:04,CORE
1401CE07,6,2017,CE312,3,AB,5/4/2017 18:05:23,CORE
1401CE07,6,2017,CE316,6,AA,5/1/2017 18:05:17,Department Elective
